0	-72.2876
0.0153	-70.4543
0.046	-69.2809
0.0767	-71.1132
0.1074	-72.9456
0.138	-74.778
0.1687	-76.6104
0.1994	-77.3431
0.2301	-75.5098
0.2607	-71.8437
0.2914	-69.2773
0.3221	-69.4137
0.3528	-69.7218
0.3834	-70.0727
0.4141	-70.4
0.4448	-70.5947
0.4755	-70.1402
0.5061	-68.7609
0.5368	-68.38
0.5675	-68.3227
0.5982	-68.4849
0.6288	-69.0959
0.6595	-70.5182
0.6902	-70.876
0.7209	-71.014
0.7515	-71.1176
0.7822	-71.2468
0.8129	-71.4353
0.8436	-71.7114
0.8742	-72.1147
0.9049	-72.714
0.9356	-73.5756
0.9663	-74.4276
0.9969	-74.3256
1.0276	-70.9582
1.0583	-65.6736
1.089	-58.3418
1.1196	-59.5877
1.1503	-63.2529
1.181	-66.8449
1.2117	-66.5147
1.2423	-65.5976
1.273	-66.1756
1.3037	-67.9473
1.3344	-70.0803
1.365	-72.1608
1.3957	-74.1609
1.4264	-74.6572
1.4571	-70.8606
1.4877	-66.4005
1.5184	-63.4777
1.5491	-62.1318
1.5798	-61.4543
1.6104	-61.5675
1.6411	-62.2604
1.6718	-63.2453
1.7025	-64.3721
1.7331	-65.9959
1.7638	-67.4785
1.7945	-68.6687
1.8252	-70.5011
1.8558	-73.2625
1.8865	-75.9987
1.9172	-76.6785
1.9479	-73.4318
1.9785	-67.9329
2.0092	-64.2667
2.0399	-62.6857
2.0706	-62.4913
2.1012	-63.1919
2.1319	-64.4728
2.1626	-67.417
2.1933	-71.0822
2.2239	-74.7474
2.2546	-78.0949
2.2853	-84.6439
2.316	-88.3092
2.3466	-88.0888
2.3773	-86.2555
2.408	-85.0247
2.4387	-83.642
2.4693	-81.7253
2.5	-79.9254
2.5307	-78.1154
2.5613	-76.2821
2.592	-74.4488
2.6227	-73.2368
2.6534	-74.8145
2.684	-78.7937
2.7147	-82.2183
2.7454	-82.7078
2.7761	-81.532
2.8067	-80.3108
2.8374	-79.2051
2.8681	-78.5503
2.8988	-78.1036
2.9294	-77.7198
2.9601	-77.3457
2.9908	-76.9356
3.0215	-76.373
3.0521	-75.1752
3.0828	-73.6537
3.1135	-73.3414
3.1442	-73.4036
3.1748	-73.5825
3.2055	-73.8001
3.2362	-74.0204
3.2669	-74.2175
3.2975	-74.3651
3.3282	-74.4366
3.3589	-74.4246
3.3896	-74.3278
3.4202	-74.1445
3.4509	-73.8727
3.4816	-73.5106
3.5123	-73.0783
3.5429	-72.6382
3.5736	-72.2511
3.6043	-71.9413
3.635	-71.7028
3.6656	-71.5179
3.6963	-71.38
3.727	-71.2919
3.7577	-71.2676
3.7883	-71.3521
3.819	-71.7376
3.8497	-73.1107
3.8804	-74.1367
3.911	-74.9427
3.9417	-75.8472
3.9724	-76.7746
4.0031	-77.6192
4.0337	-78.6065
4.0644	-79.9135
4.0951	-80.0342
4.1258	-78.8251
4.1564	-76.9918
4.1871	-73.3257
4.2178	-71.4924
4.2485	-70.4478
4.2791	-69.6948
4.3098	-69.696
4.3405	-73.1768
4.3712	-72.5321
4.4018	-72.5524
4.4325	-73.1912
4.4632	-74.1696
