0.1703,-71.8744
0.3228,-70.0771
0.4754,-68.9869
0.6279,-71.8255
0.7804,-73.9689
0.933,-74.2895
1.0855,-71.4259
1.238,-74.1254
1.3906,-80.1838
1.5431,-80.8428
1.6956,-77.9171
1.8482,-74.6073
2.0007,-73.2475
2.1532,-68.4053
2.3057,-77.5076
2.4583,-81.6083
2.6108,-80.0942
2.7633,-75.8645
2.9159,-75.2858
3.0684,-77.4694
3.2209,-75.1119
3.3735,-75.2177
3.526,-77.7849
3.6785,-76.8692
3.8311,-73.4329
3.9836,-68.8966
4.1361,-70.2284
4.2887,-72.2714
4.4412,-76.3786
4.5937,-70.0173
4.7463,-77.4677
4.8988,-72.4579
5.0513,-71.5151
5.2039,-75.9178
5.3564,-77.7462
5.5089,-77.705
5.6615,-73.4528
5.814,-70.4362
5.9665,-70.5072
6.1191,-74.2791
6.2716,-77.9493
6.4241,-73.6986
6.5767,-73.0736
6.7292,-77.2782
6.8817,-70.592
7.0343,-72.6753
7.1868,-77.2126
7.3393,-70.7776
7.4919,-72.3958
7.6444,-68.8461
7.7969,-68.6137
7.9495,-73.6696
8.102,-76.5971
8.2545,-78.2819
8.4071,-72.6475
8.5596,-71.7799
8.7121,-78.2477
8.8647,-68.3915
9.0172,-70.4742
9.1697,-73.7226
9.3223,-74.3996
9.4748,-70.8079
9.6273,-79.0631
9.7799,-76.9785
