0.2111,-77.0287
0.364,-82.2888
0.5169,-84.6681
0.6698,-85.0984
0.8227,-81.6874
0.9756,-86.7735
1.1285,-73.6884
1.2814,-72.1523
1.4343,-71.0119
1.5872,-74.8916
1.7401,-73.161
1.893,-71.8318
2.0459,-68.4198
2.1988,-78.6939
2.3517,-82.1637
2.5046,-78.725
2.6575,-74.2158
2.8104,-69.8262
2.9633,-69.9121
3.1162,-77.7321
3.2691,-78.0835
3.422,-73.8462
3.5749,-71.9304
3.7278,-69.5238
3.8808,-69.7658
4.0337,-70.6896
4.1866,-73.1803
4.3395,-71.9304
4.4924,-63.7803
4.6453,-67.799
4.7982,-67.3686
4.9511,-68.9193
5.104,-77.2446
5.2569,-74.4414
5.4098,-73.8642
5.5627,-68.752
5.7156,-70.4725
5.8685,-72.815
6.0214,-75.6222
6.1743,-77.0287
6.3272,-73.8375
6.4801,-68.4914
6.633,-69.916
6.7859,-70.1348
6.9388,-64.8539
7.0917,-61.5899
7.2446,-61.2064
7.3975,-58.8244
7.5504,-59.7551
7.7033,-55.872
7.8562,-57.1629
8.0091,-60.3153
8.162,-64.8269
8.3149,-63.7644
8.4678,-66.3968
8.6207,-64.6346
8.7736,-64.0193
8.9266,-62.7197
9.0795,-69.6778
9.2324,-69.3812
9.3853,-66.3047
9.5382,-71.4023
9.6911,-72.9074
9.844,-65.2617
